player;club;position;minutes;cluster
Kyle Walker-Peters;Southampton;DF;2,918;0
Lesley Ugochukwu;Southampton;MF;1,655;0
Mateus Fernandes;Southampton;MF;2,909;0
Ryan Manning;Southampton;DF,MF;1,462;0
Taylor Harwood-Bellis;Southampton;DF;2,825;0
Tyler Dibling;Southampton;FW,MF;1,874;0
Yukinari Sugawara;Southampton;DF,MF;1,557;0
Cristian Romero;Tottenham;DF;1,416;0
Destiny Udogie;Tottenham;DF;1,924;0
Djed Spence;Tottenham;DF;1,792;0
Lucas Bergvall;Tottenham;MF;1,212;0
Pape Matar Sarr;Tottenham;MF;1,913;0
Pedro Porro;Tottenham;DF;2,610;0
Rodrigo Bentancur;Tottenham;MF;1,645;0
Yves Bissouma;Tottenham;MF;1,408;0
Aaron Wan-Bissaka;West Ham;DF;3,154;0
Edson Álvarez;West Ham;MF;1,772;0
Emerson Palmieri;West Ham;DF;2,113;0
Jean-Clair Todibo;West Ham;DF;1,825;0
Konstantinos Mavropanos;West Ham;DF;2,045;0
Lucas Paquetá;West Ham;MF,FW;2,380;0
Max Kilman;West Ham;DF;3,348;0
André;Wolves;MF;2,472;0
Jean-Ricner Bellegarde;Wolves;MF,FW;1,677;0
João Gomes;Wolves;MF;2,974;0
Mario Lemina;Wolves;MF,DF;1,364;0
Matt Doherty;Wolves;DF;2,109;0
Nélson Semedo;Wolves;DF;2,886;0
Rayan Aït-Nouri;Wolves;DF;3,109;0
Toti Gomes;Wolves;DF;2,614;0
Ben White;Arsenal;DF;1,198;1
David Raya;Arsenal;GK;3,420;1
Ethan Nwaneri;Arsenal;FW,MF;895;1
Gabriel Jesus;Arsenal;FW;608;1
Jakub Kiwior;Arsenal;DF;1,122;1
Jorginho;Arsenal;MF;704;1
Kieran Tierney;Arsenal;DF,FW;259;1
Myles Lewis-Skelly;Arsenal;DF;1,369;1
Oleksandr Zinchenko;Arsenal;DF,MF;527;1
Raheem Sterling;Arsenal;FW,MF;499;1
Riccardo Calafiori;Arsenal;DF;983;1
Andrés García;Aston Villa;DF,MF;318;1
Axel Disasi;Aston Villa;DF;490;1
Diego Carlos;Aston Villa;DF;830;1
Donyell Malen;Aston Villa;FW;305;1
Emi Buendía;Aston Villa;MF,FW;98;1
Emiliano Martínez;Aston Villa;GK;3,194;1
Jaden Philogene Bidace;Aston Villa;FW,MF;332;1
Jáder Durán;Aston Villa;FW;638;1
Kosta Nedeljković;Aston Villa;DF;126;1
Lamare Bogarde;Aston Villa;DF,MF;476;1
Leon Bailey;Aston Villa;FW,MF;1,139;1
Marco Asensio;Aston Villa;MF;743;1
Marcus Rashford;Aston Villa;FW;444;1
Robin Olsen;Aston Villa;GK;226;1
Ross Barkley;Aston Villa;MF;581;1
Tyrone Mings;Aston Villa;DF;1,120;1
Adam Smith;Bournemouth;DF;1,590;1
Alex Scott;Bournemouth;MF;755;1
Daniel Jebbison;Bournemouth;FW;119;1
David Brooks;Bournemouth;FW,MF;960;1
Enes Ünal;Bournemouth;FW,MF;345;1
James Hill;Bournemouth;DF;448;1
Julian Araujo;Bournemouth;DF;497;1
Kepa Arrizabalaga;Bournemouth;GK;2,790;1
Luis Sinisterra;Bournemouth;FW,MF;236;1
Marcos Senesi;Bournemouth;DF;1,106;1
Mark Travers;Bournemouth;GK;450;1
Neto;Bournemouth;GK;180;1
Philip Billing;Bournemouth;MF;184;1
Ben Mee;Brentford;DF;183;1
Edmond-Paris Maghoma;Brentford;MF,FW;119;1
Fabio Carvalho;Brentford;FW,MF;455;1
Hákon Valdimarsson;Brentford;GK;145;1
Kristoffer Ajer;Brentford;DF;1,438;1
Mads Roerslev;Brentford;DF;1,101;1
Mark Flekken;Brentford;GK;3,275;1
Mathias Jensen;Brentford;MF;862;1
Michael Kayode;Brentford;DF;528;1
Rico Henry;Brentford;DF;99;1
Thiago;Brentford;FW,MF;175;1
Yehor Yarmoliuk;Brentford;MF;1,450;1
Adam Webster;Brighton;DF;887;1
Bart Verbruggen;Brighton;GK;3,240;1
Billy Gilmour;Brighton;MF;98;1
Brajan Gruda;Brighton;MF,FW;687;1
Diego Gómez;Brighton;MF;516;1
Evan Ferguson;Brighton;FW;246;1
Ferdi Kadioglu;Brighton;DF,MF;385;1
Igor;Brighton;DF;961;1
James Milner;Brighton;MF;170;1
Jason Steele;Brighton;GK;180;1
