metric;top_team;value
passing_types__corner_kicks_out;Brighton;2,43
passing_types__corner_kicks_straight;Newcastle Utd;0,22
passing_types__crosses;Arsenal;18,65
passing_types__minutes_90s;Wolves;8,31
passing_types__passes_blocked;Leicester City;9,33
passing_types__passes_completed;Manchester City;460,58
passing_types__passes_dead;Liverpool;52,1
passing_types__passes_free_kicks;Liverpool;11,96
passing_types__passes_live;Manchester City;478,25
passing_types__passes;Manchester City;513,76
passing_types__passes_offsides;Wolves;2,41
passing_types__passes_switches;Wolves;3,33
passing_types__through_balls;Ipswich Town;1,97
passing_types__throw_ins;Brentford;27,63
pens_att;Aston Villa;0,34
pens_made;Tottenham;0,17
playing_time__games_starts;Arsenal;8,47
playing_time__games_subs;Fulham;14,11
playing_time__minutes_90s;Wolves;8,31
playing_time__minutes;Wolves;736,02
playing_time__minutes_pct;Wolves;21,88
playing_time__minutes_per_game;Tottenham;63,55
playing_time__minutes_per_start;Manchester City;81,22
playing_time__minutes_per_sub;Aston Villa;27,88
playing_time__on_goals_against;Wolves;18,94
playing_time__on_goals_for;Arsenal;16,18
playing_time__on_xg_against;Ipswich Town;15,24
playing_time__on_xg_for;Liverpool;15,83
playing_time__plus_minus;Arsenal;10,21
playing_time__plus_minus_per90;Arsenal;1,24
playing_time__plus_minus_wowy;Arsenal;0,42
playing_time__points_per_game;Liverpool;2,17
playing_time__unused_subs;Liverpool;16,39
playing_time__xg_plus_minus;Arsenal;7,43
playing_time__xg_plus_minus_per90;Arsenal;0,91
playing_time__xg_plus_minus_wowy;Manchester Utd;0,4
possession__carries_distance;Manchester City;1923,49
possession__carries_into_final_third;Arsenal;13,8
possession__carries_into_penalty_area;Arsenal;7,69
possession__carries;Manchester City;357,82
possession__carries_progressive_distance;Manchester City;1011,99
possession__dispossessed;Everton;11,55
possession__minutes_90s;Wolves;8,31
possession__miscontrols;Fulham;19,7
possession__passes_received;Manchester City;429,22
possession__progressive_carries;Arsenal;22,8
possession__progressive_passes_received;Arsenal;50,14
possession__take_ons;Arsenal;23,16
possession__take_ons_tackled;Tottenham;11,2
possession__take_ons_tackled_pct;Crystal Palace;60,62
possession__take_ons_won;Arsenal;12,38
possession__take_ons_won_pct;Everton;53,98
possession__touches_att_3rd;Arsenal;212,69
possession__touches_att_pen_area;Fulham;31,99
possession__touches_def_3rd;Liverpool;216,07
possession__touches_def_pen_area;Liverpool;90,28
possession__touches_live_ball;Manchester City;577,92
possession__touches;Manchester City;577,92
possession__touches_mid_3rd;Manchester City;296,12
progressive_carries;Arsenal;22,8
progressive_passes;Manchester City;40,68
progressive_passes_received;Arsenal;50,14
ranker;Southampton;378,3
shooting__goals;Fulham;3,35
shooting__goals_per_shot;Manchester City;0,17
shooting__goals_per_shot_on_target;Manchester City;0,33
shooting__minutes_90s;Wolves;8,31
shooting__npxg;Fulham;2,2
shooting__npxg_net;Fulham;1,15
shooting__npxg_per_shot;Chelsea;0,12
shooting__pens_att;Aston Villa;0,34
